Job Title,Job Type,Company Name,Posted Date,Cities,States,Stipend,Start Date,Duration,Numer of Openings,Late date to apply,Skills
Software Development Intern,Remote,Infosys,06-10-2023,Thiruvananthapuram,Kerala,10000 /month,Immediately,6 Months,1,12-11-2023,"Python, Java, Git, Problem Solving, OOP"
Data Science Intern,Hybrid,TCS,06-10-2023,Thiruvananthapuram,Kerala,10000 /month,Immediately,6 Months,6,12-11-2023,"Pandas, Power BI, Statistics, Machine Learning, TensorFlow"
Cybersecurity Intern,Remote,Wipro,16-10-2023,Thiruvananthapuram,Kerala,10000 /month,Immediately,6 Months,1,12-11-2023,"Ethical Hacking, Security Tools, Firewalls"
Cloud Computing Intern,Remote,HCL Technologies,19-10-2023,Thiruvananthapuram,Kerala,10000 /month,Immediately,7 Months,1,12-11-2023,"AWS, Kubernetes, Terraform"
AI & Machine Learning Intern,Hybrid,Tech Mahindra,15-12-2023,Chandigarh,Punjab,12000 /month,Immediately,6 Months,2,13-01-2024,"PyTorch, Scikit-learn, TensorFlow, NLP, Deep Learning"
Web Development Intern,Remote,Accenture,15-02-2024,Chandigarh,Punjab,12000 /month,Immediately,6 Months,1,18-02-2024,"Node.js, PHP, CSS, MongoDB"
Mobile App Development Intern,Hybrid,Capgemini,26-02-2024,Chandigarh,Punjab,12000 /month,Immediately,6 Months,1,28-02-2024,"Kotlin, React Native, Dart, Swift, Java"
UI/UX Design Intern,Remote,IBM India,29-02-2024,Kannur,Kerala,10000 /month,Immediately,6 Months,1,09-03-2024,"Sketch, Figma, User Research, Wireframing"
DevOps Intern,Hybrid,Cognizant,04-06-2024,Bokaro,Jharkhand,Unpaid,Immediately,8 Weeks,2,28-06-2024,"Jenkins, Docker, Kubernetes"
Blockchain Intern,Hybrid,Oracle India,18-06-2024,Thrissur,Kerala,10000 /month,Immediately,6 Months,1,12-07-2024,"Solidity, Smart Contracts, Ethereum, Hyperledger, Web3"
Software Development Intern,Remote,Infosys,18-06-2024,Thrissur,Kerala,10000 /month,Immediately,6 Months,1,25-01-2025,"C++, SQL, Git, Python, Java"
Data Science Intern,Remote,TCS,25-06-2024,Alappuzha,Kerala,10000 /month,Immediately,6 Months,1,30-07-2024,"R, Power BI, TensorFlow, Pandas, Python"
Cybersecurity Intern,Hybrid,Wipro,25-06-2024,Chandigarh,Punjab,12000 /month,Immediately,6 Months,1,28-06-2024,"Firewalls, Networking, Cryptography, Linux, Ethical Hacking"
Cloud Computing Intern,Hybrid,HCL Technologies,01-07-2024,Calicut,Kerala,10000 /month,Immediately,12 Months,1,07-09-2024,"Terraform, AWS, CI/CD, Azure, Linux"
AI & Machine Learning Intern,Hybrid,Tech Mahindra,01-07-2024,Calicut,Kerala,10000 /month,Immediately,12 Months,1,07-09-2024,"NLP, Deep Learning, Python, PyTorch"
Web Development Intern,Remote,Accenture,01-07-2024,Calicut,Kerala,10000 /month,Immediately,12 Months,1,07-09-2024,"HTML, JavaScript, React, CSS"
Mobile App Development Intern,Remote,Capgemini,22-07-2024,Guruvayur,Kerala,10000 /month,Immediately,6 Months,1,03-08-2024,"React Native, Java, Dart"
UI/UX Design Intern,Remote,IBM India,22-07-2024,Guruvayur,Kerala,10000 /month,Immediately,6 Months,2,03-08-2024,"Wireframing, Sketch, Prototyping, User Research"
DevOps Intern,Hybrid,Cognizant,22-07-2024,Alappuzha,Kerala,10000 /month,Immediately,6 Months,1,06-08-2024,"Kubernetes, Linux, Jenkins, Docker"
Blockchain Intern,Hybrid,Oracle India,05-08-2024,Thrissur,Kerala,10000 /month,Immediately,6 Months,1,12-08-2024,"Cryptography, Web3, Solidity"
Software Development Intern,Hybrid,Infosys,05-08-2024,Thrissur,Kerala,10000 /month,Immediately,6 Months,1,12-08-2024,"OOP, SQL, Problem Solving, Python"
Data Science Intern,Remote,TCS,13-08-2024,Thiruvananthapuram,Kerala,10000 /month,Immediately,6 Months,6,30-09-2024,"SQL, Pandas, R, TensorFlow"
Cybersecurity Intern,Hybrid,Wipro,13-08-2024,Thiruvananthapuram,Kerala,10000 /month,Immediately,6 Months,2,31-08-2024,"Ethical Hacking, Networking, Security Tools, Firewalls, Cryptography"
